python train_clf.py
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
Iter-0; loss: 0.7558; val_acc: 0.4771
Iter-32000; loss: 0.0189; val_acc: 0.6578
Iter-32200; loss: 0.0053; val_acc: 0.6922
Iter-32400; loss: 0.0009; val_acc: 0.6969
Iter-32600; loss: 0.0014; val_acc: 0.7099
Iter-32800; loss: 0.0008; val_acc: 0.7000
Iter-33000; loss: 0.0001; val_acc: 0.6630
Iter-33200; loss: 0.0355; val_acc: 0.6958
Iter-33400; loss: 0.0039; val_acc: 0.7052
Iter-33600; loss: 0.0036; val_acc: 0.7146
Iter-33800; loss: 0.0211; val_acc: 0.6917
Iter-34000; loss: 0.0004; val_acc: 0.6937
Iter-34200; loss: 0.0002; val_acc: 0.7000
Iter-34400; loss: 0.0353; val_acc: 0.6641
Iter-34600; loss: 0.0044; val_acc: 0.7151
Iter-34800; loss: 0.0010; val_acc: 0.6943
Iter-35000; loss: 0.0008; val_acc: 0.7031
Iter-35200; loss: 0.0554; val_acc: 0.6995
Iter-35400; loss: 0.0124; val_acc: 0.6906
Iter-35600; loss: 0.0195; val_acc: 0.7156
Iter-35800; loss: 0.0004; val_acc: 0.6609
Iter-36000; loss: 0.0020; val_acc: 0.6974
Iter-36200; loss: 0.0315; val_acc: 0.7141
Iter-36400; loss: 0.0027; val_acc: 0.7240
Iter-36600; loss: 0.0040; val_acc: 0.6703
Iter-36800; loss: 0.0030; val_acc: 0.6906
Iter-37000; loss: 0.0202; val_acc: 0.7031
Iter-37200; loss: 0.0019; val_acc: 0.6844
Iter-37400; loss: 0.0047; val_acc: 0.6859
Iter-37600; loss: 0.1189; val_acc: 0.7161
Iter-37800; loss: 0.0018; val_acc: 0.6891
Iter-38000; loss: 0.0141; val_acc: 0.6979
Iter-38200; loss: 0.0002; val_acc: 0.6547
Iter-38400; loss: 0.0011; val_acc: 0.7068
Iter-38600; loss: 0.0411; val_acc: 0.7167
Iter-38800; loss: 0.0076; val_acc: 0.6849
Iter-39000; loss: 0.0034; val_acc: 0.6766
Iter-39200; loss: 0.1616; val_acc: 0.7167
Iter-39400; loss: 0.0060; val_acc: 0.6953
Iter-39600; loss: 0.0020; val_acc: 0.7214
Iter-39800; loss: 0.0310; val_acc: 0.7094
Iter-40000; loss: 0.0049; val_acc: 0.7297
Iter-40200; loss: 0.0121; val_acc: 0.6969
Iter-40400; loss: 0.0007; val_acc: 0.6854
Iter-40600; loss: 0.0004; val_acc: 0.6896
Iter-40800; loss: 0.0002; val_acc: 0.7219
Iter-41000; loss: 0.0174; val_acc: 0.6620
Iter-41200; loss: 0.0039; val_acc: 0.7078
Iter-41400; loss: 0.0158; val_acc: 0.6969
Iter-41600; loss: 0.0282; val_acc: 0.7193
Iter-41800; loss: 0.0022; val_acc: 0.6807
Iter-42000; loss: 0.0314; val_acc: 0.6880
Iter-42200; loss: 0.0466; val_acc: 0.6526
Iter-42400; loss: 0.0005; val_acc: 0.6995
Iter-42600; loss: 0.0109; val_acc: 0.7068
Iter-42800; loss: 0.0060; val_acc: 0.6922
Iter-43000; loss: 0.0004; val_acc: 0.7099
Iter-43200; loss: 0.0034; val_acc: 0.7182
Iter-43400; loss: 0.0009; val_acc: 0.7021
Iter-43600; loss: 0.0009; val_acc: 0.6875
Iter-43800; loss: 0.0068; val_acc: 0.7021
Iter-44000; loss: 0.0000; val_acc: 0.7141
Iter-44200; loss: 0.0030; val_acc: 0.6839
Iter-44400; loss: 0.0008; val_acc: 0.6875
Iter-44600; loss: 0.0003; val_acc: 0.6969
Iter-44800; loss: 0.0048; val_acc: 0.7271
Iter-45000; loss: 0.0018; val_acc: 0.6583
Iter-45200; loss: 0.0041; val_acc: 0.6969
Iter-45400; loss: 0.0239; val_acc: 0.6906
Iter-45600; loss: 0.0013; val_acc: 0.6682
Iter-45800; loss: 0.0032; val_acc: 0.7021
Iter-46000; loss: 0.0001; val_acc: 0.6927
Iter-46200; loss: 0.0040; val_acc: 0.7333
Iter-46400; loss: 0.0448; val_acc: 0.7099
Iter-46600; loss: 0.0046; val_acc: 0.7109
Iter-46800; loss: 0.0026; val_acc: 0.7000
Iter-47000; loss: 0.0006; val_acc: 0.6740
Iter-47200; loss: 0.0008; val_acc: 0.7161
Iter-47400; loss: 0.0058; val_acc: 0.6776
Iter-47600; loss: 0.0012; val_acc: 0.6698
Iter-47800; loss: 0.0033; val_acc: 0.7000
Iter-48000; loss: 0.0006; val_acc: 0.7146
Iter-48200; loss: 0.0014; val_acc: 0.6865
Iter-48400; loss: 0.0021; val_acc: 0.6833
Iter-48600; loss: 0.0018; val_acc: 0.6766
Iter-48800; loss: 0.0142; val_acc: 0.7182
Iter-49000; loss: 0.0677; val_acc: 0.7036
Iter-49200; loss: 0.0041; val_acc: 0.7026
Iter-49400; loss: 0.0057; val_acc: 0.6844
Iter-49600; loss: 0.0010; val_acc: 0.7047
Iter-49800; loss: 0.0052; val_acc: 0.7286
